ETC1,DATE,MACHINE,OPERATINID,ETC2,ETC3,STEPDESC,RECIPE,LOT ID,WAFERID,Slot ID,PARAMETER,MAX_DATA_ID,DATA1,DATA2,DATA3,DATA4,DATA5,DATA6,DATA7,DATA8,DATA9,DATA10,DATA11,DATA12,DATA13
XX,2026-04-24 11:00,MTMF02,A30200,AAA,B,BG HM SION ETCH THK POST,RK2A_ERTEST_13PT,ERT001AC,ERT001.01,1,GOF,13,0.9837,0.9888,0.9848,0.9836,0.9929,0.9875,0.9913,0.9930,0.9830,0.9841,0.9855,0.9829,0.9836
XX,2026-04-24 11:00,MTMF02,A30200,AAA,B,BG HM SION ETCH THK POST,RK2A_ERTEST_13PT,ERT001AC,ERT001.01,1,T1,13,913.2,871.7,876.2,871.1,870.3,869.3,875.4,818.4,817.4,814.1,818.9,817.3,817.2
XX,2026-04-24 11:00,MTMF02,A30200,AAA,B,BG HM SION ETCH THK POST,RK2A_ERTEST_13PT,ERT001AC,ERT001.01,1,T2,13,451.0,430.3,429.5,429.7,429.9,428.9,429.7,400.7,402.5,403.0,403.1,401.1,402.7
XX,2026-04-24 11:00,MTMF02,A30200,AAA,B,BG HM SION ETCH THK POST,RK2A_ERTEST_13PT,ERT001AC,ERT001.01,1,X,13,0.000,50.000,25.000,-25.000,-50.000,-25.000,25.000,103.923,0.000,-103.923,-103.923,0.000,103.923
XX,2026-04-24 11:00,MTMF02,A30200,AAA,B,BG HM SION ETCH THK POST,RK2A_ERTEST_13PT,ERT001AC,ERT001.01,1,Y,13,0.000,0.000,43.301,43.301,0.000,-43.301,-43.301,60.000,120.000,60.000,-60.000,-120.000,-60.000
XX,2026-04-24 11:00,MTMF02,A30200,AAA,B,BG HM SION ETCH THK POST,RK2A_ERTEST_13PT,ERT001AC,ERT001.02,2,GOF,13,0.9912,0.9838,0.9902,0.9836,0.9898,0.9858,0.9904,0.9935,0.9805,0.9870,0.9834,0.9855,0.9940
XX,2026-04-24 11:00,MTMF02,A30200,AAA,B,BG HM SION ETCH THK POST,RK2A_ERTEST_13PT,ERT001AC,ERT001.02,2,T1,13,920.0,876.6,874.2,876.4,874.9,874.0,875.4,819.3,820.0,817.6,818.6,821.5,822.9
XX,2026-04-24 11:00,MTMF02,A30200,AAA,B,BG HM SION ETCH THK POST,RK2A_ERTEST_13PT,ERT001AC,ERT001.02,2,T2,13,451.4,431.6,430.9,432.5,432.0,431.3,431.8,405.1,406.0,406.4,404.2,405.5,405.6
XX,2026-04-24 11:00,MTMF02,A30200,AAA,B,BG HM SION ETCH THK POST,RK2A_ERTEST_13PT,ERT001AC,ERT001.02,2,X,13,0.000,50.000,25.000,-25.000,-50.000,-25.000,25.000,103.923,0.000,-103.923,-103.923,0.000,103.923
XX,2026-04-24 11:00,MTMF02,A30200,AAA,B,BG HM SION ETCH THK POST,RK2A_ERTEST_13PT,ERT001AC,ERT001.02,2,Y,13,0.000,0.000,43.301,43.301,0.000,-43.301,-43.301,60.000,120.000,60.000,-60.000,-120.000,-60.000
XX,2026-04-24 11:00,MTMF02,A30200,AAA,B,BG HM SION ETCH THK POST,RK2A_ERTEST_13PT,ERT001AC,ERT001.03,3,GOF,13,0.9836,0.9811,0.9854,0.9843,0.9926,0.9919,0.9858,0.9865,0.9810,0.9901,0.9837,0.9849,0.9867
XX,2026-04-24 11:00,MTMF02,A30200,AAA,B,BG HM SION ETCH THK POST,RK2A_ERTEST_13PT,ERT001AC,ERT001.03,3,T1,13,912.4,869.3,869.6,869.5,866.2,867.8,867.9,812.8,815.1,811.1,817.6,816.3,814.3
XX,2026-04-24 11:00,MTMF02,A30200,AAA,B,BG HM SION ETCH THK POST,RK2A_ERTEST_13PT,ERT001AC,ERT001.03,3,T2,13,446.6,429.3,431.2,429.1,428.3,430.0,430.0,402.4,401.3,401.7,401.6,404.0,402.1
XX,2026-04-24 11:00,MTMF02,A30200,AAA,B,BG HM SION ETCH THK POST,RK2A_ERTEST_13PT,ERT001AC,ERT001.03,3,X,13,0.000,50.000,25.000,-25.000,-50.000,-25.000,25.000,103.923,0.000,-103.923,-103.923,0.000,103.923
XX,2026-04-24 11:00,MTMF02,A30200,AAA,B,BG HM SION ETCH THK POST,RK2A_ERTEST_13PT,ERT001AC,ERT001.03,3,Y,13,0.000,0.000,43.301,43.301,0.000,-43.301,-43.301,60.000,120.000,60.000,-60.000,-120.000,-60.000
