ETC1,DATE,MACHINE,OPERATINID,ETC2,ETC3,STEPDESC,RECIPE,LOT ID,WAFERID,Slot ID,PARAMETER,MAX_DATA_ID,DATA1,DATA2,DATA3,DATA4,DATA5,DATA6,DATA7,DATA8,DATA9,DATA10,DATA11,DATA12,DATA13
XX,2026-04-24 09:00,MTMF02,A30200,AAA,B,BG HM SION DEP THK PRE,RK2A_ERTEST_13PT,ERT001,ERT001.01,1,GOF,13,0.9886,0.9898,0.9804,0.9876,0.9897,0.9840,0.9944,0.9862,0.9880,0.9809,0.9816,0.9881,0.9837
XX,2026-04-24 09:00,MTMF02,A30200,AAA,B,BG HM SION DEP THK PRE,RK2A_ERTEST_13PT,ERT001,ERT001.01,1,T1,13,1062.4,1024.5,1033.6,1023.4,1021.8,1019.7,1031.9,981.2,979.3,972.7,982.3,979.2,978.8
XX,2026-04-24 09:00,MTMF02,A30200,AAA,B,BG HM SION DEP THK PRE,RK2A_ERTEST_13PT,ERT001,ERT001.01,1,T2,13,529.0,509.1,507.5,507.9,508.2,506.3,507.9,480.0,483.7,484.6,484.8,480.7,484.1
XX,2026-04-24 09:00,MTMF02,A30200,AAA,B,BG HM SION DEP THK PRE,RK2A_ERTEST_13PT,ERT001,ERT001.01,1,X,13,0.000,50.000,25.000,-25.000,-50.000,-25.000,25.000,103.923,0.000,-103.923,-103.923,0.000,103.923
XX,2026-04-24 09:00,MTMF02,A30200,AAA,B,BG HM SION DEP THK PRE,RK2A_ERTEST_13PT,ERT001,ERT001.01,1,Y,13,0.000,0.000,43.301,43.301,0.000,-43.301,-43.301,60.000,120.000,60.000,-60.000,-120.000,-60.000
XX,2026-04-24 09:00,MTMF02,A30200,AAA,B,BG HM SION DEP THK PRE,RK2A_ERTEST_13PT,ERT001,ERT001.02,2,GOF,13,0.9864,0.9831,0.9871,0.9944,0.9865,0.9851,0.9950,0.9917,0.9833,0.9890,0.9948,0.9868,0.9815
XX,2026-04-24 09:00,MTMF02,A30200,AAA,B,BG HM SION DEP THK PRE,RK2A_ERTEST_13PT,ERT001,ERT001.02,2,T1,13,1072.9,1031.5,1026.6,1031.1,1028.0,1026.3,1028.9,980.2,981.5,976.6,978.7,984.4,987.4
XX,2026-04-24 09:00,MTMF02,A30200,AAA,B,BG HM SION DEP THK PRE,RK2A_ERTEST_13PT,ERT001,ERT001.02,2,T2,13,527.7,509.8,508.3,511.4,510.6,509.1,510.1,486.9,488.5,489.4,485.1,487.5,487.9
XX,2026-04-24 09:00,MTMF02,A30200,AAA,B,BG HM SION DEP THK PRE,RK2A_ERTEST_13PT,ERT001,ERT001.02,2,X,13,0.000,50.000,25.000,-25.000,-50.000,-25.000,25.000,103.923,0.000,-103.923,-103.923,0.000,103.923
XX,2026-04-24 09:00,MTMF02,A30200,AAA,B,BG HM SION DEP THK PRE,RK2A_ERTEST_13PT,ERT001,ERT001.02,2,Y,13,0.000,0.000,43.301,43.301,0.000,-43.301,-43.301,60.000,120.000,60.000,-60.000,-120.000,-60.000
