ETC1,DATE,MACHINE,OPERATINID,ETC2,ETC3,STEPDESC,RECIPE,LOT ID,WAFERID,Slot ID,PARAMETER,MAX_DATA_ID,DATA1,DATA2,DATA3,DATA4,DATA5,DATA6,DATA7,DATA8,DATA9,DATA10,DATA11,DATA12,DATA13
XX,2026-04-21 11:00,MTMF01,A001,AAA,B,IO TEST,TEST_INNER_OUTER,IO001,IO001.01,1,T1,13,661.85,661.62,662.11,668.62,661.98,651.02,665.66,660.86,661.26,663.93,664.86,672.31,668.25
XX,2026-04-21 11:00,MTMF01,A001,AAA,B,IO TEST,TEST_INNER_OUTER,IO001,IO001.01,1,T2,13,120.22,118.52,117.97,120.49,122.62,120.08,119.79,121.06,117.09,119.38,120.98,121.75,119.52
XX,2026-04-21 11:00,MTMF01,A001,AAA,B,IO TEST,TEST_INNER_OUTER,IO001,IO001.01,1,T3,13,45.23,45.15,45.47,44.33,45.34,44.09,43.43,44.64,44.45,45.53,45.4,44.27,45.51
XX,2026-04-21 11:00,MTMF01,A001,AAA,B,IO TEST,TEST_INNER_OUTER,IO001,IO001.01,1,T4,13,187.97,198.97,196.47,201.37,209.82,207.66,204.2,207.8,205.74,192.48,191.39,194.36,205.99
XX,2026-04-21 11:00,MTMF01,A001,AAA,B,IO TEST,TEST_INNER_OUTER,IO001,IO001.01,1,T_A,11,398.5,414.01,395.08,393.41,404.61,408.53,403.03,405.01,408.56,399.44,391.46,,
XX,2026-04-21 11:00,MTMF01,A001,AAA,B,IO TEST,TEST_INNER_OUTER,IO001,IO001.01,1,T_B,11,406.81,415.72,401.34,410.2,411.52,408.11,414.34,413.48,423.93,413.72,406.34,,
XX,2026-04-21 11:00,MTMF01,A001,AAA,B,IO TEST,TEST_INNER_OUTER,IO001,IO001.01,1,T_C,11,391.63,390.01,400.71,391.6,394.58,399.5,390.66,393.24,383.95,388.51,391.59,,
XX,2026-04-21 11:00,MTMF01,A001,AAA,B,IO TEST,TEST_INNER_OUTER,IO001,IO001.01,1,T_D,11,407.49,412.16,404.89,406.57,406.01,411.51,410.36,406.64,398.93,410.42,407.29,,
XX,2026-04-21 11:00,MTMF01,A001,AAA,B,IO TEST,TEST_INNER_OUTER,IO001,IO001.01,1,X,13,0,50,-50,0,0,100,-100,0,0,130,-130,0,0
XX,2026-04-21 11:00,MTMF01,A001,AAA,B,IO TEST,TEST_INNER_OUTER,IO001,IO001.01,1,Y,13,0,0,0,50,-50,0,0,100,-100,0,0,130,-130
XX,2026-04-21 11:00,MTMF01,A001,AAA,B,IO TEST,TEST_INNER_OUTER,IO001,IO001.01,1,X_A,11,132,111.05,54.83,-18.79,-86.44,-126.65,-126.65,-86.44,-18.79,54.83,111.05,,
XX,2026-04-21 11:00,MTMF01,A001,AAA,B,IO TEST,TEST_INNER_OUTER,IO001,IO001.01,1,Y_A,11,0,71.36,120.07,130.66,99.76,37.19,-37.19,-99.76,-130.66,-120.07,-71.36,,
XX,2026-04-21 11:00,MTMF01,A001,AAA,B,IO TEST,TEST_INNER_OUTER,IO001,IO001.01,1,X_B,11,132.41,90.37,19.64,-57.33,-116.09,-138,-116.09,-57.33,19.64,90.37,132.41,,
XX,2026-04-21 11:00,MTMF01,A001,AAA,B,IO TEST,TEST_INNER_OUTER,IO001,IO001.01,1,Y_B,11,38.88,104.29,136.6,125.53,74.61,0,-74.61,-125.53,-136.6,-104.29,-38.88,,
XX,2026-04-21 11:00,MTMF01,A001,AAA,B,IO TEST,TEST_INNER_OUTER,IO001,IO001.01,1,X_C,11,140.55,107.32,40.01,-40.01,-107.32,-140.55,-129.17,-76.77,-0,76.77,129.17,,
XX,2026-04-21 11:00,MTMF01,A001,AAA,B,IO TEST,TEST_INNER_OUTER,IO001,IO001.01,1,Y_C,11,20.21,92.99,136.25,136.25,92.99,20.21,-58.99,-119.46,-142,-119.46,-58.99,,
XX,2026-04-21 11:00,MTMF01,A001,AAA,B,IO TEST,TEST_INNER_OUTER,IO001,IO001.01,1,X_D,11,132.81,78.93,0,-78.93,-132.81,-144.51,-110.34,-41.13,41.13,110.34,144.51,,
XX,2026-04-21 11:00,MTMF01,A001,AAA,B,IO TEST,TEST_INNER_OUTER,IO001,IO001.01,1,Y_D,11,60.65,122.82,146,122.82,60.65,-20.78,-95.61,-140.09,-140.09,-95.61,-20.78,,
