ETC1,DATE,MACHINE,OPERATINID,ETC2,ETC3,STEPDESC,RECIPE,LOT ID,WAFERID,Slot ID,PARAMETER,MAX_DATA_ID,DATA1,DATA2,DATA3,DATA4,DATA5,DATA6,DATA7,DATA8,DATA9,DATA10,DATA11,DATA12,DATA13,DATA14,DATA15,DATA16,DATA17,DATA18,DATA19,DATA20,DATA21,DATA22,DATA23,DATA24,DATA25,DATA26,DATA27,DATA28,DATA29,DATA30,DATA31,DATA32,DATA33,DATA34,DATA35,DATA36,DATA37,DATA38,DATA39,DATA40,DATA41,DATA42,DATA43,DATA44,DATA45,DATA46,DATA47,DATA48,DATA49,DATA50,DATA51,DATA52,DATA53,DATA54,DATA55,DATA56,DATA57,DATA58,DATA59
XX,2026-04-22 15:00,MTCM01,OP001,,,6 DIGIT TEST,TEST_6D,LOT6D,LOT6D.01,1,T1,59,119869.045,121131.405,121944.221,123043.635,122983.539,123674.470,124406.063,125412.334,125300.908,125515.642,126675.091,126550.629,125927.075,126719.882,127069.417,126464.912,126896.216,126193.469,126606.453,126338.745,125820.502,125668.787,124442.640,124541.713,123821.316,123112.892,122412.573,121723.144,121504.977,119821.026,120670.894,121330.506,122954.903,123015.497,124074.268,124425.302,125690.031,125566.738,125641.701,126400.580,125916.632,126415.193,126697.984,126316.276,126813.793,125900.915,126968.983,126820.325,126120.869,125088.875,125167.475,125325.530,124406.335,123972.085,122912.236,123065.191,121998.181,121126.735,119841.946
XX,2026-04-22 15:00,MTCM01,OP001,,,6 DIGIT TEST,TEST_6D,LOT6D,LOT6D.01,1,X,59,-145.0,-140.0,-135.0,-130.0,-125.0,-120.0,-115.0,-110.0,-105.0,-100.0,-95.0,-90.0,-85.0,-80.0,-75.0,-70.0,-65.0,-60.0,-55.0,-50.0,-45.0,-40.0,-35.0,-30.0,-25.0,-20.0,-15.0,-10.0,-5.0,0.0,5.0,10.0,15.0,20.0,25.0,30.0,35.0,40.0,45.0,50.0,55.0,60.0,65.0,70.0,75.0,80.0,85.0,90.0,95.0,100.0,105.0,110.0,115.0,120.0,125.0,130.0,135.0,140.0,145.0
XX,2026-04-22 15:00,MTCM01,OP001,,,6 DIGIT TEST,TEST_6D,LOT6D,LOT6D.01,1,Y,59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XX,2026-04-22 15:00,MTCM01,OP001,,,6 DIGIT TEST,TEST_6D,LOT6D,LOT6D.02,2,T1,59,228329.898,229629.753,231100.291,233270.564,234466.385,234344.240,236352.976,237595.556,238802.775,239786.131,238938.086,239660.749,240486.088,240818.604,241611.753,240719.886,241414.255,240021.555,239980.388,239708.270,239228.841,238075.432,237152.696,236790.627,236005.623,234090.929,232861.250,231165.054,229787.201,228094.259,230363.524,231637.647,233078.539,235368.694,234973.950,237420.385,237479.882,238884.679,240256.602,238913.575,239504.275,240127.516,241248.489,239771.171,240584.446,240442.270,240905.623,240771.139,239602.366,240507.961,237170.811,238575.469,236727.187,235760.809,234217.136,233325.535,231182.233,229314.693,227685.101
XX,2026-04-22 15:00,MTCM01,OP001,,,6 DIGIT TEST,TEST_6D,LOT6D,LOT6D.02,2,X,59,-145.0,-140.0,-135.0,-130.0,-125.0,-120.0,-115.0,-110.0,-105.0,-100.0,-95.0,-90.0,-85.0,-80.0,-75.0,-70.0,-65.0,-60.0,-55.0,-50.0,-45.0,-40.0,-35.0,-30.0,-25.0,-20.0,-15.0,-10.0,-5.0,0.0,5.0,10.0,15.0,20.0,25.0,30.0,35.0,40.0,45.0,50.0,55.0,60.0,65.0,70.0,75.0,80.0,85.0,90.0,95.0,100.0,105.0,110.0,115.0,120.0,125.0,130.0,135.0,140.0,145.0
XX,2026-04-22 15:00,MTCM01,OP001,,,6 DIGIT TEST,TEST_6D,LOT6D,LOT6D.02,2,Y,59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XX,2026-04-22 15:00,MTCM01,OP001,,,6 DIGIT TEST,TEST_6D,LOT6D,LOT6D.03,3,T1,59,337348.823,339187.818,340178.392,345425.289,343253.620,347094.843,349442.258,350287.883,351950.967,351040.368,351295.475,354308.362,355420.672,352928.686,355480.959,355946.558,354601.738,353667.430,353325.046,352408.066,352341.567,350463.728,349956.688,351249.489,348016.958,344445.708,342995.651,342477.302,337122.171,335059.029,339042.638,341230.828,342836.632,344216.350,346978.546,349961.586,350277.547,352105.694,353170.731,352991.589,353792.558,353834.810,355460.494,354008.906,352901.043,354574.113,354273.636,354518.917,351893.461,350460.559,352516.057,349354.369,348730.030,346984.498,345682.148,342878.240,340426.672,338898.939,336222.773
XX,2026-04-22 15:00,MTCM01,OP001,,,6 DIGIT TEST,TEST_6D,LOT6D,LOT6D.03,3,X,59,-145.0,-140.0,-135.0,-130.0,-125.0,-120.0,-115.0,-110.0,-105.0,-100.0,-95.0,-90.0,-85.0,-80.0,-75.0,-70.0,-65.0,-60.0,-55.0,-50.0,-45.0,-40.0,-35.0,-30.0,-25.0,-20.0,-15.0,-10.0,-5.0,0.0,5.0,10.0,15.0,20.0,25.0,30.0,35.0,40.0,45.0,50.0,55.0,60.0,65.0,70.0,75.0,80.0,85.0,90.0,95.0,100.0,105.0,110.0,115.0,120.0,125.0,130.0,135.0,140.0,145.0
XX,2026-04-22 15:00,MTCM01,OP001,,,6 DIGIT TEST,TEST_6D,LOT6D,LOT6D.03,3,Y,59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XX,2026-04-22 15:00,MTCM01,OP001,,,6 DIGIT TEST,TEST_6D,LOT6D,LOT6D.04,4,T1,59,443535.008,449540.124,451107.596,454348.577,455841.736,457332.633,461672.171,463369.829,462745.926,465279.986,465525.922,468752.756,468212.767,469410.857,470092.540,470214.005,468547.538,469362.056,468748.896,467379.987,464797.372,464399.115,463297.156,460085.542,460630.910,455919.071,452649.893,450102.019,446515.220,447111.365,446803.558,451673.025,452415.768,456123.703,458604.531,460827.308,463532.166,462817.318,465251.420,465583.812,467435.659,468301.885,469530.993,469014.937,468110.363,468484.788,469198.010,466452.616,468252.624,465039.402,464446.847,464754.076,459247.221,458115.114,454961.374,453041.523,451805.185,449297.071,444142.526
