ETC1,DATE,MACHINE,OPERATINID,ETC2,ETC3,STEPDESC,RECIPE,LOT ID,WAFERID,Slot ID,PARAMETER,MAX_DATA_ID,DATA1,DATA2,DATA3,DATA4,DATA5,DATA6,DATA7,DATA8,DATA9,DATA10,DATA11,DATA12,DATA13,DATA14,DATA15,DATA16,DATA17,DATA18,DATA19,DATA20,DATA21,DATA22,DATA23,DATA24,DATA25,DATA26,DATA27,DATA28,DATA29,DATA30,DATA31,DATA32,DATA33,DATA34,DATA35,DATA36,DATA37,DATA38,DATA39,DATA40,DATA41,DATA42,DATA43,DATA44,DATA45,DATA46,DATA47,DATA48,DATA49,DATA50,DATA51,DATA52,DATA53,DATA54,DATA55,DATA56,DATA57,DATA58,DATA59
XX,2026-04-22 15:00,MTCM01,OP001,,,DELTA TEST,TEST_NEG,LOTNEG,LOTNEG.01,1,T1,59,-483.621,-385.154,-235.465,-111.924,-18.195,78.225,140.266,257.789,316.886,318.528,378.693,440.098,493.776,499.484,477.745,495.310,501.202,483.424,476.292,403.518,352.603,266.636,225.207,135.254,79.653,-71.775,-116.890,-271.460,-381.847,-500.734,-374.788,-254.235,-132.424,-48.964,51.660,153.693,215.099,313.216,385.859,420.178,451.310,458.189,487.040,469.139,444.187,475.502,498.020,452.237,375.131,367.192,303.384,241.360,159.837,75.078,-73.658,-120.983,-242.978,-358.182,-468.059
XX,2026-04-22 15:00,MTCM01,OP001,,,DELTA TEST,TEST_NEG,LOTNEG,LOTNEG.01,1,X,59,-145.0,-140.0,-135.0,-130.0,-125.0,-120.0,-115.0,-110.0,-105.0,-100.0,-95.0,-90.0,-85.0,-80.0,-75.0,-70.0,-65.0,-60.0,-55.0,-50.0,-45.0,-40.0,-35.0,-30.0,-25.0,-20.0,-15.0,-10.0,-5.0,0.0,5.0,10.0,15.0,20.0,25.0,30.0,35.0,40.0,45.0,50.0,55.0,60.0,65.0,70.0,75.0,80.0,85.0,90.0,95.0,100.0,105.0,110.0,115.0,120.0,125.0,130.0,135.0,140.0,145.0
XX,2026-04-22 15:00,MTCM01,OP001,,,DELTA TEST,TEST_NEG,LOTNEG,LOTNEG.01,1,Y,59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XX,2026-04-22 15:00,MTCM01,OP001,,,DELTA TEST,TEST_NEG,LOTNEG,LOTNEG.02,2,T1,59,-5170.598,-3492.207,-2596.071,-981.067,-265.903,1094.374,1600.967,2640.979,3148.440,3895.347,3780.695,4325.691,4631.542,4775.128,4918.453,5004.231,5362.230,4578.918,4145.633,3787.369,3742.423,2969.326,2328.068,1651.198,648.759,-231.949,-1469.440,-2407.097,-3403.512,-5084.638,-3792.159,-2650.260,-1433.805,-569.551,802.320,1715.063,2086.316,2741.482,3465.091,4133.396,4554.428,4656.258,4427.641,5118.368,4975.512,4875.181,4475.580,4297.192,3813.130,3489.077,3173.920,2071.097,1376.940,483.606,-247.254,-1143.531,-2187.418,-3708.127,-5241.244
XX,2026-04-22 15:00,MTCM01,OP001,,,DELTA TEST,TEST_NEG,LOTNEG,LOTNEG.02,2,X,59,-145.0,-140.0,-135.0,-130.0,-125.0,-120.0,-115.0,-110.0,-105.0,-100.0,-95.0,-90.0,-85.0,-80.0,-75.0,-70.0,-65.0,-60.0,-55.0,-50.0,-45.0,-40.0,-35.0,-30.0,-25.0,-20.0,-15.0,-10.0,-5.0,0.0,5.0,10.0,15.0,20.0,25.0,30.0,35.0,40.0,45.0,50.0,55.0,60.0,65.0,70.0,75.0,80.0,85.0,90.0,95.0,100.0,105.0,110.0,115.0,120.0,125.0,130.0,135.0,140.0,145.0
XX,2026-04-22 15:00,MTCM01,OP001,,,DELTA TEST,TEST_NEG,LOTNEG,LOTNEG.02,2,Y,59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XX,2026-04-22 15:00,MTCM01,OP001,,,DELTA TEST,TEST_NEG,LOTNEG,LOTNEG.03,3,T1,59,-48473.498,-37687.504,-26190.370,-11598.210,-4487.284,6031.938,18204.792,23877.520,32242.074,35925.383,46656.540,47412.504,50834.998,47189.573,51510.243,51268.062,49438.184,49213.103,47052.191,42704.994,34615.101,29010.581,23185.642,16035.694,5268.663,-4615.932,-13075.516,-27013.296,-35184.470,-43793.195,-38427.979,-26188.507,-16864.584,72.738,11177.567,16673.639,25916.158,27607.822,36059.581,38403.194,45721.147,48400.813,48891.370,51799.382,50828.798,48206.071,49141.824,47496.081,41468.397,32899.769,27935.335,18316.460,16897.738,9472.095,-2625.073,-12079.615,-22623.243,-39247.772,-51307.226
XX,2026-04-22 15:00,MTCM01,OP001,,,DELTA TEST,TEST_NEG,LOTNEG,LOTNEG.03,3,X,59,-145.0,-140.0,-135.0,-130.0,-125.0,-120.0,-115.0,-110.0,-105.0,-100.0,-95.0,-90.0,-85.0,-80.0,-75.0,-70.0,-65.0,-60.0,-55.0,-50.0,-45.0,-40.0,-35.0,-30.0,-25.0,-20.0,-15.0,-10.0,-5.0,0.0,5.0,10.0,15.0,20.0,25.0,30.0,35.0,40.0,45.0,50.0,55.0,60.0,65.0,70.0,75.0,80.0,85.0,90.0,95.0,100.0,105.0,110.0,115.0,120.0,125.0,130.0,135.0,140.0,145.0
XX,2026-04-22 15:00,MTCM01,OP001,,,DELTA TEST,TEST_NEG,LOTNEG,LOTNEG.03,3,Y,59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XX,2026-04-22 15:00,MTCM01,OP001,,,DELTA TEST,TEST_NEG,LOTNEG,LOTNEG.04,4,T1,59,-247570.738,-188583.738,-128306.143,-66009.071,-9315.239,35109.831,73053.025,130901.593,157422.811,188863.670,178317.287,225709.152,218712.732,252112.543,252723.455,254266.484,246675.318,222149.654,203055.831,207516.687,175453.864,151911.291,139047.302,97837.329,37958.696,-9807.552,-84013.929,-130255.020,-187084.927,-231925.222,-187129.027,-115590.113,-71378.927,-13940.621,38945.291,106587.862,123646.254,148955.942,178634.580,210532.413,216932.111,218260.633,240628.108,245293.843,250230.858,249342.595,255067.038,207849.196,187932.570,160734.282,132743.798,100384.470,56747.029,32284.815,-12223.639,-68747.951,-127375.170,-178711.469,-255807.393
