ETC1,DATE,MACHINE,OPERATINID,ETC2,ETC3,STEPDESC,RECIPE,LOT ID,WAFERID,Slot ID,PARAMETER,MAX_DATA_ID,DATA1,DATA2,DATA3,DATA4,DATA5,DATA6,DATA7,DATA8,DATA9,DATA10,DATA11,DATA12,DATA13,DATA14,DATA15,DATA16,DATA17,DATA18,DATA19,DATA20,DATA21,DATA22,DATA23,DATA24,DATA25,DATA26,DATA27,DATA28,DATA29,DATA30,DATA31,DATA32,DATA33,DATA34,DATA35,DATA36,DATA37,DATA38,DATA39,DATA40,DATA41,DATA42,DATA43,DATA44,DATA45,DATA46,DATA47,DATA48,DATA49,DATA50,DATA51,DATA52,DATA53,DATA54,DATA55,DATA56,DATA57,DATA58,DATA59
XX,2026-04-21 10:00,MTCM01,OP001,,,CMP POST THK,CMP_POLISH_LINE_SCAN,RK2A_CMP,RK2A_CMP.01,1,T1,59,2952.910,2959.767,2979.809,2991.728,2988.858,3000.997,3015.730,3021.107,3028.909,3030.677,3043.083,3046.314,3045.877,3052.496,3050.449,3044.479,3049.083,3041.265,3046.767,3038.901,3033.684,3025.920,3028.032,3014.459,3004.930,2996.053,2989.891,2978.077,2966.304,2953.478,2974.084,2974.603,2985.191,2993.975,3009.629,3020.235,3022.018,3025.204,3030.806,3042.054,3046.158,3048.024,3044.429,3049.390,3048.871,3048.408,3049.501,3043.820,3042.181,3034.820,3030.285,3025.371,3008.598,3005.419,2995.521,2984.621,2975.194,2971.174,2947.643
XX,2026-04-21 10:00,MTCM01,OP001,,,CMP POST THK,CMP_POLISH_LINE_SCAN,RK2A_CMP,RK2A_CMP.01,1,X,59,-145.0,-140.0,-135.0,-130.0,-125.0,-120.0,-115.0,-110.0,-105.0,-100.0,-95.0,-90.0,-85.0,-80.0,-75.0,-70.0,-65.0,-60.0,-55.0,-50.0,-45.0,-40.0,-35.0,-30.0,-25.0,-20.0,-15.0,-10.0,-5.0,0.0,5.0,10.0,15.0,20.0,25.0,30.0,35.0,40.0,45.0,50.0,55.0,60.0,65.0,70.0,75.0,80.0,85.0,90.0,95.0,100.0,105.0,110.0,115.0,120.0,125.0,130.0,135.0,140.0,145.0
XX,2026-04-21 10:00,MTCM01,OP001,,,CMP POST THK,CMP_POLISH_LINE_SCAN,RK2A_CMP,RK2A_CMP.01,1,Y,59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XX,2026-04-21 10:00,MTCM01,OP001,,,CMP POST THK,CMP_POLISH_LINE_SCAN,RK2A_CMP,RK2A_CMP.02,2,T1,59,2911.793,2913.748,2949.850,2976.456,3000.551,3020.115,3037.450,3041.923,3053.807,3076.754,3076.530,3074.146,3080.960,3086.572,3101.166,3097.973,3101.062,3087.314,3087.054,3083.882,3066.248,3062.080,3039.104,3027.042,3010.279,2984.512,2979.374,2948.640,2929.006,2907.405,2932.912,2958.853,2974.105,2991.465,3012.997,3015.124,3032.037,3046.064,3060.057,3081.850,3077.478,3087.756,3106.540,3093.485,3103.329,3086.445,3089.311,3077.077,3075.201,3076.595,3042.423,3048.971,3032.449,3008.367,2982.260,2975.641,2948.099,2930.987,2903.275
XX,2026-04-21 10:00,MTCM01,OP001,,,CMP POST THK,CMP_POLISH_LINE_SCAN,RK2A_CMP,RK2A_CMP.02,2,X,59,-145.0,-140.0,-135.0,-130.0,-125.0,-120.0,-115.0,-110.0,-105.0,-100.0,-95.0,-90.0,-85.0,-80.0,-75.0,-70.0,-65.0,-60.0,-55.0,-50.0,-45.0,-40.0,-35.0,-30.0,-25.0,-20.0,-15.0,-10.0,-5.0,0.0,5.0,10.0,15.0,20.0,25.0,30.0,35.0,40.0,45.0,50.0,55.0,60.0,65.0,70.0,75.0,80.0,85.0,90.0,95.0,100.0,105.0,110.0,115.0,120.0,125.0,130.0,135.0,140.0,145.0
XX,2026-04-21 10:00,MTCM01,OP001,,,CMP POST THK,CMP_POLISH_LINE_SCAN,RK2A_CMP,RK2A_CMP.02,2,Y,59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XX,2026-04-21 10:00,MTCM01,OP001,,,CMP POST THK,CMP_POLISH_LINE_SCAN,RK2A_CMP,RK2A_CMP.03,3,T1,59,2876.241,2890.109,2915.479,2964.908,2995.882,3038.920,3056.738,3072.409,3106.708,3087.500,3108.741,3115.933,3131.477,3123.686,3153.611,3142.037,3122.415,3123.029,3132.674,3128.693,3130.504,3126.290,3073.186,3032.106,2991.789,2996.526,2951.513,2923.689,2885.077,2852.717,2907.731,2931.417,2960.346,2978.931,2997.963,3038.899,3066.866,3110.820,3105.307,3130.645,3121.701,3120.742,3129.242,3135.246,3173.771,3131.182,3148.059,3116.252,3129.954,3108.745,3084.838,3067.041,3036.625,3026.593,2986.770,2945.942,2912.045,2895.670,2875.935
XX,2026-04-21 10:00,MTCM01,OP001,,,CMP POST THK,CMP_POLISH_LINE_SCAN,RK2A_CMP,RK2A_CMP.03,3,X,59,-145.0,-140.0,-135.0,-130.0,-125.0,-120.0,-115.0,-110.0,-105.0,-100.0,-95.0,-90.0,-85.0,-80.0,-75.0,-70.0,-65.0,-60.0,-55.0,-50.0,-45.0,-40.0,-35.0,-30.0,-25.0,-20.0,-15.0,-10.0,-5.0,0.0,5.0,10.0,15.0,20.0,25.0,30.0,35.0,40.0,45.0,50.0,55.0,60.0,65.0,70.0,75.0,80.0,85.0,90.0,95.0,100.0,105.0,110.0,115.0,120.0,125.0,130.0,135.0,140.0,145.0
XX,2026-04-21 10:00,MTCM01,OP001,,,CMP POST THK,CMP_POLISH_LINE_SCAN,RK2A_CMP,RK2A_CMP.03,3,Y,59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XX,2026-04-21 10:00,MTCM01,OP001,,,CMP POST THK,CMP_POLISH_LINE_SCAN,RK2A_CMP,RK2A_CMP.04,4,T1,59,2809.036,2855.651,2910.874,2973.491,2994.499,3020.032,3080.532,3097.840,3143.581,3141.363,3134.463,3146.628,3212.036,3220.721,3190.151,3186.485,3216.001,3162.392,3155.150,3168.084,3130.962,3115.845,3087.180,3066.696,3052.763,2992.180,2961.574,2868.826,2856.910,2790.978,2835.848,2889.922,2943.969,3007.036,3003.553,3061.171,3081.407,3110.039,3156.114,3166.190,3195.328,3179.538,3177.168,3189.353,3197.747,3192.873,3162.800,3172.884,3160.612,3183.379,3149.720,3074.764,3055.446,3001.087,2979.917,2955.664,2927.434,2844.663,2794.382
