ETC1,DATE,MACHINE,OPERATINID,ETC2,ETC3,STEPDESC,RECIPE,LOT ID,WAFERID,Slot ID,PARAMETER,MAX_DATA_ID,DATA1,DATA2,DATA3,DATA4,DATA5,DATA6,DATA7,DATA8,DATA9,DATA10,DATA11,DATA12,DATA13
XX,2026-04-17 12:02,MTMF01,A30123123C,AAA,B,BG HM SION DEP THK,RK2A_BGSION_THK,RK2A007,RK2A007.08,8,GOF,13,0.9987,0.9949,0.9848,0.9688,0.9999,0.9899,0.9493,0.9987,0.999,0.9799,0.9,0.9414,0.9999
XX,2026-04-17 12:03,MTMF01,A30123123C,AAA,B,BG HM SION DEP THK,RK2A_BGSION_THK,RK2A007,RK2A007.08,8,T1,13,663.125,664.25,665.7,646.8,648.0875,643.335,638.5825,633.83,629.0775,624.325,619.5725,614.82,610.0675
XX,2026-04-17 12:04,MTMF01,A30123123C,AAA,B,BG HM SION DEP THK,RK2A_BGSION_THK,RK2A007,RK2A007.08,8,X,13,0,0,0,0,0,-147,-73,73,147,100,100,-100,-100
XX,2026-04-17 12:05,MTMF01,A30123123C,AAA,B,BG HM SION DEP THK,RK2A_BGSION_THK,RK2A007,RK2A007.08,8,Y,13,-147,-73,0,73,147,0,0,0,0,100,-100,100,-100
XX,2026-04-17 12:06,MTMF01,A30123123C,AAA,B,BG HM SION DEP THK,RK2A_BGSION_THK,RK2A007,RK2A007.08,8,X_1000,13,0,0,0,0,0,-147000,-73000,73000,147000,100000,100000,-100000,-100000
XX,2026-04-17 12:07,MTMF01,A30123123C,AAA,B,BG HM SION DEP THK,RK2A_BGSION_THK,RK2A007,RK2A007.08,8,Y_1000,13,-147000,-73000,0,73000,147000,0,0,0,0,100000,-100000,100000,-100000
XX,2026-04-17 12:08,MTMF01,A30123123C,AAA,B,BG HM SION DEP THK,RK2A_BGSION_THK,RK2A007,RK2A007.08,8,T1_AVG,1,638.5825,,,,,,,,,,,,
XX,2026-04-17 12:09,MTMF01,A30123123C,AAA,B,BG HM SION DEP THK,RK2A_BGSION_THK,RK2A007,RK2A007.08,8,T1_B,4,710,711.1,709.5,712.5454,,,,,,,,,
XX,2026-04-17 12:10,MTMF01,A30123123C,AAA,B,BG HM SION DEP THK,RK2A_BGSION_THK,RK2A007,RK2A007.08,4,X_1000_B,4,149,149,-149,-149,,,,,,,,,
XX,2026-04-17 12:11,MTMF01,A30123123C,AAA,B,BG HM SION DEP THK,RK2A_BGSION_THK,RK2A007,RK2A007.08,4,Y_1000_B,4,149,-149,149,-149,,,,,,,,,
XX,2026-04-17 12:12,MTMF01,A30123123C,AAA,B,BG HM SION DEP THK,RK2A_BGSION_THK,RK2A007,RK2A007.11,11,GOF,13,0.9987,0.9949,0.9848,0.9688,0.9999,0.9899,0.9493,0.9987,0.999,0.9799,0.9,0.9414,0.9999
XX,2026-04-17 12:13,MTMF01,A30123123C,AAA,B,BG HM SION DEP THK,RK2A_BGSION_THK,RK2A007,RK2A007.11,11,T1,13,663.125,638.5825,665.7,646.8,663.125,665.7,638.5825,663.125,664.25,665.375,667.0975,638.5825,610.0675
XX,2026-04-17 12:14,MTMF01,A30123123C,AAA,B,BG HM SION DEP THK,RK2A_BGSION_THK,RK2A007,RK2A007.11,11,X,13,0,0,0,0,0,-147,-73,73,147,100,100,-100,-100
XX,2026-04-17 12:15,MTMF01,A30123123C,AAA,B,BG HM SION DEP THK,RK2A_BGSION_THK,RK2A007,RK2A007.11,11,Y,13,-147,-73,0,73,147,0,0,0,0,100,-100,100,-100
XX,2026-04-17 12:16,MTMF01,A30123123C,AAA,B,BG HM SION DEP THK,RK2A_BGSION_THK,RK2A007,RK2A007.11,11,X_1000,13,0,0,0,0,0,-147000,-73000,73000,147000,100000,100000,-100000,-100000
XX,2026-04-17 12:17,MTMF01,A30123123C,AAA,B,BG HM SION DEP THK,RK2A_BGSION_THK,RK2A007,RK2A007.11,11,Y_1000,13,-147000,-73000,0,73000,147000,0,0,0,0,100000,-100000,100000,-100000
XX,2026-04-17 12:18,MTMF01,A30123123C,AAA,B,BG HM SION DEP THK,RK2A_BGSION_THK,RK2A007,RK2A007.11,11,T1_AVG,1,653.0855769,,,,,,,,,,,,
XX,2026-04-17 12:19,MTMF01,A30123123C,AAA,B,BG HM SION DEP THK,RK2A_BGSION_THK,RK2A007,RK2A007.11,11,T1_B,4,724.55,731,721.298,728.48,,,,,,,,,
XX,2026-04-17 12:20,MTMF01,A30123123C,AAA,B,BG HM SION DEP THK,RK2A_BGSION_THK,RK2A007,RK2A007.11,11,X_1000_B,4,149,149,-149,-149,,,,,,,,,
XX,2026-04-17 12:21,MTMF01,A30123123C,AAA,B,BG HM SION DEP THK,RK2A_BGSION_THK,RK2A007,RK2A007.11,11,Y_1000_B,4,149,-149,149,-149,,,,,,,,,
